symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,price
3,alfa-romero,gas,std,two,convertible,rwd,front,88.6,13495
3,alfa-romero,gas,std,two,convertible,rwd,front,88.6,16500
1,alfa-romero,gas,,two,hatchback,rwd,front,,16500
2,audi,gas,,four,,fwd,front,99.8,13950
2,,gas,,four,sedan,4wd,front,99.4,17450
2,audi,gas,std,two,sedan,fwd,front,99.8,15250
1,audi,gas,std,four,sedan,fwd,front,105.8,17710
1,audi,gas,std,four,,fwd,front,,18920
1,audi,gas,turbo,four,sedan,fwd,front,105.8,23875
0,audi,gas,turbo,two,hatchback,4wd,front,99.5,23875
2,bmw,gas,std,two,sedan,rwd,front,101.2,16430
0,bmw,gas,std,four,sedan,rwd,front,101.2,16925
0,,gas,,two,sedan,rwd,front,101.2,20970
0,bmw,gas,std,four,,rwd,front,101.2,21105
1,bmw,gas,std,four,sedan,rwd,front,103.5,24565
0,bmw,gas,std,four,sedan,rwd,front,,30760
0,bmw,gas,,two,sedan,rwd,front,103.5,41315
0,bmw,gas,std,four,,rwd,front,110,36880
2,chevrolet,gas,std,two,hatchback,fwd,front,88.4,5151
1,chevrolet,gas,std,two,hatchback,fwd,front,94.5,6295
0,chevrolet,gas,std,four,sedan,fwd,front,94.5,6575
1,dodge,gas,,two,hatchback,fwd,front,,5572
1,dodge,gas,std,two,,fwd,front,93.7,6377
1,dodge,gas,,two,hatchback,fwd,front,93.7,7957
1,dodge,gas,,four,hatchback,fwd,front,93.7,6229
1,dodge,gas,std,four,sedan,fwd,front,93.7,6692
1,,gas,std,four,,fwd,front,93.7,7609
1,dodge,gas,turbo,four,sedan,fwd,front,,8558
-1,dodge,gas,std,four,wagon,fwd,front,103.3,8921
3,dodge,gas,turbo,two,hatchback,fwd,front,95.9,12964
2,honda,gas,std,two,hatchback,fwd,front,86.6,6479
2,honda,gas,std,two,hatchback,fwd,front,86.6,6855
1,honda,gas,std,two,,fwd,front,93.7,5399
1,honda,gas,,two,hatchback,fwd,front,93.7,6529
1,honda,gas,std,two,hatchback,fwd,front,93.7,7129
0,,gas,std,four,sedan,fwd,front,96.5,7295
0,honda,gas,std,four,wagon,fwd,front,96.5,7295
0,honda,gas,,two,,fwd,front,,7895
0,honda,gas,std,two,hatchback,fwd,front,96.5,9095
